title,download_url,file_size,date_posted,category,file_type
Rapport sur l'État actionnaire 2023 - 2024,https://api.angspe.ma/uploads/RA_ANGSPE_A4_VF_2_075083f90d.pdf,6.92 Mo,26/06/2025,Rapport d'activités,PDF
Charte de gouvernance pour les EEP.,https://api.angspe.ma/uploads/Charte_Gouvernance_EEP_ANGSPE_VDEF_QR_a6ff5f4569.pdf,1755 ko,22/05/2025,Autres rapports,PDF
